# ContigOrdering file.  This file represents a ContigOrdering object, which describes an ordering of contigs within a Proximo cluster.
# See ContigOrdering.h for more documentation.
#
# Important numbers:
#	N_contigs	1057	(Number of contigs in the input cluster)
#	N_contigs_used	1057	(Number of contigs ordered by this ordering)
#	has_Q_scores	1	(Boolean: has orientation quality scores?)
#	has_gaps	0	(Boolean: have gap sizes between contigs been estimated?)
#
# Columns:
#contig_ID(local)	contig_name	contig_rc	orientation_Q_score	gap_size_after_contig
176	475986	1	0.661589	.
324	505341	0	177.299	.
443	516892	0	269.447	.
294	502123	0	131.981	.
999	7156635	0	16.9855	.
1000	7156636	0	6.35183	.
998	7156634	0	4.3293	.
405	512914	0	3.83231	.
134	446068	1	5.3108	.
1029	7204653	1	7.63841	.
1030	7204656	1	2.1894	.
1031	7204657	0	9.73758	.
1028	7204652	0	7.88835	.
741	2706665	1	0.0591262	.
738	2686295	1	1.12101	.
737	2686283	1	0.490788	.
742	2706677	0	3.72074	.
259	496215	0	80.8251	.
177	476048	0	119.864	.
122	442653	1	36.2148	.
411	513718	0	0	.
1	224	0	116.814	.
0	223	1	118.916	.
485	519349	1	55.3163	.
1032	7206406	0	7.80531	.
253	495690	0	61.7247	.
367	509785	0	34.0151	.
1014	7169623	0	0.556625	.
760	2853485	0	0	.
931	6748726	1	21.8916	.
510	521801	1	125.407	.
497	519896	1	33.9748	.
145	458469	0	1.31962	.
1047	7256302	0	1.43157	.
1044	7252869	1	3.3364	.
1045	7252976	1	2.95713	.
1046	7256195	0	1.63106	.
486	519385	0	65.2248	.
10	566	0	768.3	.
900	6450885	1	0.124399	.
693	1988544	0	0	.
108	437299	1	0.617917	.
12	576	1	301.293	.
389	511628	1	12.8403	.
688	1946972	1	33.8415	.
638	1301324	0	40.3502	.
16	723	1	22.7417	.
492	519670	1	159.075	.
170	472185	0	83.6985	.
204	485384	0	50.2371	.
963	6994888	1	34.9893	.
964	6994889	1	41.5182	.
637	1293569	0	0	.
89	364980	0	0	.
480	519117	1	218.941	.
321	504889	0	159.199	.
483	519212	1	75.6116	.
394	512072	1	39.7327	.
302	502914	0	49.2959	.
731	2557591	1	7.27359	.
825	4213007	1	14.4833	.
732	2557616	1	29.3865	.
472	518434	0	426.471	.
23	860	1	113.255	.
263	496337	1	10.6032	.
845	4808855	0	9.82059	.
846	4808877	0	8.78568	.
675	1786362	1	1.54484	.
403	512829	1	3.4386	.
371	510149	1	35.4686	.
844	4686701	0	18.6843	.
242	492629	1	263.459	.
52	1761	0	238.2	.
584	955522	0	6.99581	.
600	1071261	0	2.55628	.
585	955523	0	0.354257	.
437	516697	1	8.3312	.
392	511798	1	5.18259	.
471	518429	1	73.9902	.
312	503959	1	22.2502	.
981	7058813	1	0.38875	.
823	4091787	0	1.87404	.
816	3966535	0	2.32524	.
822	4091771	0	0.019552	.
340	507475	0	18.1599	.
330	506396	1	94.3741	.
154	463510	1	96.692	.
494	519792	1	4.09109	.
784	3227415	0	1.00307	.
526	657375	0	1.49297	.
630	1244075	0	14.586	.
629	1244074	0	11.1604	.
102	432334	0	21.6057	.
199	483921	1	24.7908	.
631	1244076	0	0	.
991	7095785	1	39.5478	.
85	335411	1	0.459529	.
990	7095784	1	53.1599	.
897	6409220	1	16.3777	.
898	6409221	1	17.6337	.
445	517077	0	34.2964	.
366	509759	0	64.0415	.
937	6811728	1	18.4657	.
934	6772293	1	16.286	.
933	6772290	1	4.46585	.
938	6811731	0	0.839957	.
292	502006	1	0.665564	.
143	453224	1	0.110903	.
171	472213	1	13.0464	.
142	453185	0	23.6885	.
1039	7215159	0	0.239036	.
1038	7214838	0	2.59089	.
907	6504900	0	7.75324	.
903	6491711	1	14.5756	.
904	6491850	1	18.2413	.
906	6504761	0	7.70815	.
777	3184388	0	0.185892	.
778	3184390	1	1.42284	.
333	506909	1	9.85276	.
11	568	1	38.1307	.
158	465285	0	7.70033	.
281	500068	1	38.5655	.
286	500925	0	4.45682	.
528	657392	0	6.06413	.
525	657373	0	0.232542	.
505	520707	0	0.518687	.
231	491435	1	6.41007	.
399	512324	0	88.6342	.
271	497661	1	0.369477	.
539	704202	0	24.7191	.
540	704203	0	9.05393	.
8	503	0	61.4146	.
309	503280	0	45.4247	.
342	507620	1	340.484	.
1056	7362759	1	23.5324	.
1053	7351881	0	3.34212	.
1054	7351999	0	1.50028	.
1055	7362641	1	4.71282	.
986	7070506	0	0	.
893	6376782	1	3.4487	.
892	6376779	0	2.28773	.
153	463407	1	55.9633	.
243	492957	0	82.1029	.
779	3196239	0	1.58521	.
618	1151667	1	0.330927	.
613	1143990	0	9.71422	.
336	507223	0	254.974	.
306	503171	1	34.4633	.
256	495819	0	0.482744	.
76	294605	0	0.939803	.
332	506898	1	32.9781	.
43	1436	0	9.99005	.
504	520677	0	50.0306	.
197	483657	0	4.8779	.
77	304249	0	0.301545	.
608	1091276	0	0	.
955	6932281	1	0.168814	.
954	6932163	1	0.967319	.
137	446484	0	1.24839	.
951	6920202	0	6.40532	.
950	6920129	0	0.881458	.
987	7071411	0	6.99838	.
358	509201	1	52.3268	.
230	491431	1	7.83842	.
402	512823	0	66.1918	.
46	1518	1	6.87626	.
323	505239	0	78.3011	.
347	508379	0	62.6407	.
646	1407386	0	6.99794	.
127	444004	0	96.4429	.
169	471270	1	40.9466	.
182	482155	0	7.98676	.
70	285435	1	3.45244	.
546	723424	0	51.1645	.
544	723312	1	44.7599	.
547	723452	1	52.9165	.
545	723340	0	62.4113	.
623	1193839	0	17.1987	.
621	1188823	1	36.0928	.
624	1193854	1	28.4198	.
622	1188838	0	23.5312	.
90	372366	1	37.8196	.
75	293991	1	34.7205	.
30	1132	1	26.7524	.
814	3943205	0	6.1197	.
813	3943204	0	27.0871	.
785	3227430	0	0	.
553	767763	0	0	.
65	282393	0	7.03267	.
400	512542	1	4.55192	.
552	767757	1	18.4618	.
551	767641	1	5.30451	.
409	513457	0	49.5342	.
373	510238	0	62.198	.
871	5945737	1	0.0144934	.
872	5945738	0	0.579639	.
874	6010738	0	0.885461	.
875	6010756	1	0.192565	.
478	518976	1	9.33459	.
433	516331	0	2.9171	.
228	490733	0	14.6511	.
348	508442	0	15.587	.
1026	7202148	1	4.11107	.
1024	7198411	1	26.7255	.
1027	7202149	0	22.5528	.
781	3196277	0	0.877986	.
496	519889	0	142.589	.
375	510405	0	139.704	.
607	1083870	1	8.3093	.
372	510232	1	82.6049	.
234	492047	0	57.8731	.
210	486238	1	26.1234	.
167	469947	0	17.9192	.
37	1349	0	157.097	.
300	502592	0	1.34545	.
320	504567	0	20.3757	.
774	3155512	1	4.34774	.
570	866330	0	3.27419	.
499	520021	1	26.7429	.
71	285751	1	3.46683	.
880	6215437	0	0.138342	.
193	483176	1	33.9639	.
175	475570	0	43.9449	.
628	1242491	0	7.10361	.
627	1242412	1	0.653866	.
19	742	1	26.8203	.
438	516726	1	40.7266	.
479	519093	0	40.0082	.
752	2774648	1	12.2559	.
754	2782310	0	5.88357	.
753	2774653	0	16.9253	.
755	2782315	0	11.4173	.
265	496581	1	7.65132	.
24	865	0	142.57	.
459	517778	0	39.8034	.
520	632280	1	4.18298	.
384	511352	0	53.8865	.
172	473442	1	38.0419	.
299	502591	0	106.577	.
41	1414	1	67.1337	.
54	203662	0	6.62158	.
192	483175	1	252.133	.
881	6264316	1	49.5009	.
883	6264318	1	41.5253	.
884	6264319	0	42.3644	.
882	6264317	0	47.4587	.
269	496996	1	7.13962	.
173	474610	0	30.8156	.
670	1668603	1	28.6004	.
668	1668585	0	34.5307	.
